94116,"$5,200 ",/ 3br - 
94607,"$2,966 ",/ 1br - 714ft
95035,"$3,780 ",/ 3br - 1630ft
94102,"$3,827 ",/ 1br - 822ft
95035,"$3,075 ",/ 3br - 1303ft
94040,"$3,670 ",/ 1br - 795ft
94102,"$5,250 ",/ 2br - 988ft
94002,"$2,145 ",/ 500ft
94023,"$3,545 ",/ 1br - 795ft
94023,"$3,545 ",/ 1br - 795ft
95112,$14 , 
95112,$14 , 
94587,"$1,831 ",/ 510ft
94080,"$3,227 ",/ 1br - 1112ft
95111,"$1,750 ",/ 2br - 810ft
94030,"$3,500 ",/ 3br - 1500ft
94086,"$1,650 ",/ 1br - 500ft
95111,"$2,125 ",/ 2br - 838ft
95134,"$3,155 ",/ 2br - 1185ft
94804,$967 ,/ 3br - 
95035,"$3,600 ", 
95129,"$2,069 ",/ 1br - 
95129,"$1,785 ", 
94080,"$3,615 ",/ 2br - 1054ft
95126,"$2,634 ",/ 1br - 861ft
94546,"$2,600 ",/ 3br - 1102ft
94704,"$1,750 ",/ 430ft
94123,"$2,600 ", 
95117,"$1,845 ",/ 405ft
95124,"$4,995 ",/ 3br - 1600ft
94080,"$3,509 ",/ 2br - 1103ft
94109,"$2,095 ", 
95129,"$2,139 ",/ 1br - 
94080,"$3,906 ",/ 2br - 1266ft
95409,"$2,633 ",/ 2br - 1042ft
94558,"$1,325 ",/ 1br - 
94704,"$2,600 ",/ 2br - 800ft
94580,"$1,795 ",/ 1br - 725ft
95008,"$2,155 ",/ 1br - 750ft
94404,"$3,500 ",/ 2br - 1500ft
94559,"$1,095 ",/ 1br - 
95134,"$2,755 ",/ 1br - 973ft
94580,"$1,795 ",/ 1br - 725ft
94107,"$4,000 ",/ 1br - 1056ft
94538,"$1,868 ",/ 1br - 620ft
95014,"$4,241 ",/ 3br - 1508ft
95070,"$6,595 ",/ 2br - 1650ft
95035,"$1,350 ", 
94538,"$1,816 ",/ 1br - 520ft
94538,"$2,050 ",/ 1br - 730ft
95054,"$2,976 ",/ 2br - 1070ft
94903,"$2,295 ",/ 2br - 
94040,"$3,500 ",/ 2br - 1200ft
94590,"$2,000 ",/ 2br - 1500ft
94519,"$1,500 ",/ 1br - 
94519,"$1,500 ",/ 1br - 
94519,"$1,500 ",/ 1br - 
95051,"$3,594 ",/ 2br - 1054ft
95051,"$2,874 ",/ 1br - 686ft
95051,"$2,874 ",/ 1br - 686ft
94002,"$1,120 ",/ 1br - 
95119,"$3,695 ",/ 5br - 1842ft
94611,"$1,295 ",/ 560ft
95062,"$3,500 ",/ 4br - 1643ft
95062,"$3,500 ",/ 4br - 1643ft
